Abelmoschus esculentus	Piżmian jadalny
Abelmoschus moschatus	Piżmian właściwy
Abies alba	Jodła pospolita
Abies amabilis	Jodła wonna
Abies balsamea	Jodła balsamiczna
Abies cephalonica	Jodła grecka
Abies cilicica	Jodła syryjska
Abies concolor	Jodła kalifornijska
Abies fraseri	Jodła Frasera
Abies grandis	Jodła olbrzymia
Abies homolepis	Jodła nikko
Abies koreana	Jodła koreańska
Abies lasiocarpa	Jodła górska
Abies nordmanniana	Jodła kaukaska
Abies numidica	Jodła numidyjska
Abies pinsapo	Jodła hiszpańska
Abies procera	Jodła szlachetna
Abies veitchii	Jodła Veitcha
Abietinella abietina	Jodłówka pospolita
Abutilon theophrasti	Zaślaz pospolity
Acacia dealbata	Akacja srebrzysta
Acacia farnesiana	Akacja Farnesa
Acacia longifolia	Acacia longifolia
Acacia tortilis	Acacia tortilis
Acaena magellanica	Acena sina
Acanthus mollis	Akant miękki
Acer buergerianum	Klon Bürgera
Acer campestre	Klon polny
Acer capillipes	Klon hondoański
Acer cappadocicum	Klon kolchidzki
Acer cissifolium	Klon winnolistny
Acer davidii	Klon Davida
Acer griseum	Klon strzępiastokory
Acer japonicum	Klon japoński
Acer monspessulanum	Klon francuski
Acer negundo	Klon jesionolistny
Acer opalus	Klon włoski
Acer palmatum	Klon palmowy
Acer platanoides	Klon zwyczajny
Acer pseudoplatanus	Klon jawor
Acer rubrum	Klon czerwony
Acer rufinerve	Klon rdzawy
Acer saccharinum	Klon srebrzysty
Acer saccharum	Klon cukrowy
Acer sempervirens	Klon wieczniezielony
Acer spicatum	Klon kłosowy
Acer tataricum	Klon tatarski
Acer tataricum subsp. ginnala	Klon ginnala
Acer tegmentosum	Klon zielonokory
Achillea clypeolata	Krwawnik tarczowaty
Achillea collina	Krwawnik pagórkowy
Achillea filipendulina	Krwawnik wiązówkowaty
Achillea millefolium	Krwawnik pospolity
Achillea millefolium subsp. sudetica	Krwawnik sudecki
Achillea nobilis	Krwawnik szlachetny
Achillea pannonica	Krwawnik pannoński
Achillea ptarmica	Krwawnik kichawiec
Achillea setacea	Krwawnik szczecinkolistny
Achillea stricta	Krwawnik wyprostowany
Achillea tomentosa	Krwawnik wełnisty
Achimenes grandiflora	Achimenes wielkokwiatowy
Acinos arvensis	Czyścica drobnokwiatowa
Aciphylla colensoi	Aciphylla colensoi
Aconitum anthora	Tojad południowy
Aconitum bucovinense	Tojad niski
Aconitum callibotryon	Tojad sudecki
Aconitum degenii	Tojad wiechowaty
Aconitum firmum	Tojad mocny
Aconitum firmum subsp. maninense	Tojad mocny kosmaty
Aconitum firmum subsp. moravicum	Tojad mocny morawski
Aconitum lasiocarpum	Tojad wschodniokarpacki
Aconitum lasiocarpum subsp. kotulae	Tojad wschodniokarpacki Kotuli
Aconitum lasiocarpum subsp. lasiocarpum	Tojad wschodniokarpacki typowy
Aconitum lycoctonum	Tojad lisi
Aconitum moldavicum	Tojad mołdawski
Aconitum napellus	Tojad mocny
Aconitum variegatum	Tojad dzióbaty
Acorus calamus	Tatarak zwyczajny
Acorus gramineus	Tatarak trawiasty
Actaea europaea	Pluskwica europejska
Actaea racemosa	Pluskwica groniasta
Actaea spicata	Czerniec gronkowy
Actinidia arguta	Aktinidia ostrolistna
Actinidia chinensis	Aktinidia chińska
Actinidia deliciosa	Aktinidia smakowita
Actinidia kolomikta	Aktinidia pstrolistna
Adenanthera pavonina	Gruczołkowiec pawi
Adenophora liliifolia	Dzwonecznik wonny
Adenostyles alliariae	Miłosna górska
Adenostyles leucophylla	Adenostyles leucophylla
Adiantum capillus-veneris	Adiantum właściwe
Adonis aestivalis	Miłek letni
Adonis amurensis	Miłek amurski
Adonis annua	Miłek jesienny
Adonis chrysocyathus	Miłek złocisty
Adonis flammea	Miłek szkarłatny
Adonis sibirica	Miłek syberyjski
Adonis turkestanica	Miłek turkiestański
Adonis vernalis	Miłek wiosenny
Adoxa moschatellina	Piżmaczek wiosenny
Nazwa łacińska	Nazwa polska
Aegopodium podagraria	Podagrycznik pospolity
Aeonium arboreum	Eonium drzewiaste
Aesculus flava	Kasztanowiec żółty
Aesculus hippocastanum	Kasztanowiec pospolity
Aesculus parviflora	Kasztanowiec drobnokwiatowy
Aesculus pavia	Kasztanowiec krwisty
Aesculus ×carnea	Kasztanowiec czerwony
Aethusa cynapium	Blekot pospolity
Agathis robusta	Agatis mocny
Agave americana	Agawa amerykańska
Agave fourcroydes	Agawa henekwen
Agave sisalana	Agawa sizalowa
Ageratum houstonianum	Żeniszek meksykański
Agrimonia eupatoria	Rzepik pospolity
Agrimonia pilosa	Rzepik szczeciniasty
Agrimonia procera	Rzepik wonny
Agrostemma githago	Kąkol polny
Agrostis alpina	Mietlica alpejska
Agrostis canina	Mietlica psia
Agrostis capillaris	Mietlica pospolita
